nohup: ignoring input
---------------------------------Starting---------------------------------
Saving unlabeled images
{'dataset': 'rescuenet', 'ignore_label': 255, 'model': 'DeepLab', 'pretrained': 'coco', 'seed': 1, 'training': {'batch_size': 2, 'data': {'crop': True, 'input_size': '750,750', 'labeled_samples': 900, 'scale': True, 'split_id_list': 1000}, 'learning_rate': 0.00025, 'lr_schedule': 'Poly', 'lr_schedule_power': 0.9, 'momentum': 0.9, 'num_iterations': 40000, 'num_workers': 4, 'optimizer': 'SGD', 'unlabeled': {'blur': False, 'color_jitter': False, 'consistency_loss': 'CE', 'consistency_weight': 1, 'flip': False, 'pixel_weight': 'threshold_uniform', 'mix_mask': 'class', 'train_unlabeled': True}, 'use_sync_batchnorm': True, 'weight_decay': 0.0005}, 'utils': {'checkpoint_dir': '../../../data/jpk322/ClassMix/RescueNet/', 'log_per_iter': 200, 'save_best_model': True, 'save_checkpoint_every': 1000, 'tensorboard': True, 'val_per_iter': 5000}}
dataset size:  3595
Training with labeled samples: 900
/home/jpk322/.conda/envs/classMix/lib/python3.10/site-packages/torch/optim/sgd.py:27: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  super().__init__(params, defaults)
iter =    153/ 40000, loss_l = 1.663, loss_u = 0.001
iter =    154/ 40000, loss_l = 1.301, loss_u = 0.000
iter =    155/ 40000, loss_l = 1.652, loss_u = 0.002
iter =    156/ 40000, loss_l = 1.539, loss_u = 0.000
iter =    157/ 40000, loss_l = 2.154, loss_u = 0.001
iter =    158/ 40000, loss_l = 1.329, loss_u = 0.002
iter =    159/ 40000, loss_l = 1.384, loss_u = 0.001
iter =    160/ 40000, loss_l = 1.025, loss_u = 0.006
iter =    161/ 40000, loss_l = 1.372, loss_u = 0.000
iter =    162/ 40000, loss_l = 1.068, loss_u = 0.000
iter =    163/ 40000, loss_l = 0.839, loss_u = 0.001
iter =    164/ 40000, loss_l = 0.837, loss_u = 0.000
iter =    165/ 40000, loss_l = 0.803, loss_u = 0.000
iter =    166/ 40000, loss_l = 2.092, loss_u = 0.005
iter =    167/ 40000, loss_l = 1.496, loss_u = 0.001
iter =    168/ 40000, loss_l = 0.612, loss_u = 0.000
iter =    169/ 40000, loss_l = 0.534, loss_u = 0.000
iter =    170/ 40000, loss_l = 1.646, loss_u = 0.001
iter =    171/ 40000, loss_l = 0.828, loss_u = 0.000
iter =    172/ 40000, loss_l = 1.416, loss_u = 0.001
iter =    173/ 40000, loss_l = 0.875, loss_u = 0.000
iter =    174/ 40000, loss_l = 1.033, loss_u = 0.000
iter =    175/ 40000, loss_l = 1.000, loss_u = 0.000
iter =    176/ 40000, loss_l = 0.998, loss_u = 0.000
iter =    177/ 40000, loss_l = 1.218, loss_u = 0.008
iter =    178/ 40000, loss_l = 1.055, loss_u = 0.001
iter =    179/ 40000, loss_l = 1.819, loss_u = 0.001
iter =    180/ 40000, loss_l = 0.883, loss_u = 0.000
iter =    181/ 40000, loss_l = 1.476, loss_u = 0.000
iter =    182/ 40000, loss_l = 2.102, loss_u = 0.001
iter =    183/ 40000, loss_l = 1.698, loss_u = 0.001
iter =    184/ 40000, loss_l = 1.552, loss_u = 0.004
iter =    185/ 40000, loss_l = 1.824, loss_u = 0.001
iter =    186/ 40000, loss_l = 0.938, loss_u = 0.000
iter =    187/ 40000, loss_l = 0.889, loss_u = 0.002
iter =    188/ 40000, loss_l = 1.232, loss_u = 0.001
iter =    189/ 40000, loss_l = 2.088, loss_u = 0.001
iter =    190/ 40000, loss_l = 0.987, loss_u = 0.000
iter =    191/ 40000, loss_l = 1.738, loss_u = 0.004
iter =    192/ 40000, loss_l = 1.158, loss_u = 0.001
iter =    193/ 40000, loss_l = 1.035, loss_u = 0.000
iter =    194/ 40000, loss_l = 0.659, loss_u = 0.003
iter =    195/ 40000, loss_l = 1.017, loss_u = 0.014
iter =    196/ 40000, loss_l = 1.832, loss_u = 0.000
iter =    197/ 40000, loss_l = 1.948, loss_u = 0.001
iter =    198/ 40000, loss_l = 0.470, loss_u = 0.000
iter =    199/ 40000, loss_l = 1.018, loss_u = 0.000
iter =    200/ 40000, loss_l = 1.469, loss_u = 0.001
iter =    201/ 40000, loss_l = 0.889, loss_u = 0.000
iter =    202/ 40000, loss_l = 1.916, loss_u = 0.000
iter =    203/ 40000, loss_l = 0.996, loss_u = 0.022
iter =    204/ 40000, loss_l = 1.137, loss_u = 0.003
iter =    205/ 40000, loss_l = 1.251, loss_u = 0.005
iter =    206/ 40000, loss_l = 1.412, loss_u = 0.000
iter =    207/ 40000, loss_l = 1.466, loss_u = 0.000
iter =    208/ 40000, loss_l = 0.870, loss_u = 0.020
iter =    209/ 40000, loss_l = 1.144, loss_u = 0.000
iter =    210/ 40000, loss_l = 1.097, loss_u = 0.000
iter =    211/ 40000, loss_l = 1.116, loss_u = 0.000
iter =    212/ 40000, loss_l = 1.647, loss_u = 0.000
iter =    213/ 40000, loss_l = 1.122, loss_u = 0.000
iter =    214/ 40000, loss_l = 1.560, loss_u = 0.000
iter =    215/ 40000, loss_l = 1.431, loss_u = 0.000
iter =    216/ 40000, loss_l = 1.023, loss_u = 0.000
iter =    217/ 40000, loss_l = 1.026, loss_u = 0.000
iter =    218/ 40000, loss_l = 1.087, loss_u = 0.001
iter =    219/ 40000, loss_l = 1.015, loss_u = 0.000
iter =    220/ 40000, loss_l = 0.859, loss_u = 0.000
iter =    221/ 40000, loss_l = 1.004, loss_u = 0.000
iter =    222/ 40000, loss_l = 0.913, loss_u = 0.005
iter =    223/ 40000, loss_l = 1.451, loss_u = 0.001
iter =    224/ 40000, loss_l = 1.715, loss_u = 0.000
iter =    225/ 40000, loss_l = 1.344, loss_u = 0.000
iter =    226/ 40000, loss_l = 1.616, loss_u = 0.000
iter =    227/ 40000, loss_l = 1.180, loss_u = 0.000
iter =    228/ 40000, loss_l = 0.691, loss_u = 0.000
iter =    229/ 40000, loss_l = 1.057, loss_u = 0.000
iter =    230/ 40000, loss_l = 1.593, loss_u = 0.002
iter =    231/ 40000, loss_l = 1.471, loss_u = 0.000
iter =    232/ 40000, loss_l = 0.742, loss_u = 0.016
iter =    233/ 40000, loss_l = 2.372, loss_u = 0.000
iter =    234/ 40000, loss_l = 3.219, loss_u = 0.000
iter =    235/ 40000, loss_l = 1.839, loss_u = 0.001
iter =    236/ 40000, loss_l = 1.192, loss_u = 0.000
iter =    237/ 40000, loss_l = 1.988, loss_u = 0.000
iter =    238/ 40000, loss_l = 1.629, loss_u = 0.001
iter =    239/ 40000, loss_l = 1.248, loss_u = 0.000
iter =    240/ 40000, loss_l = 1.135, loss_u = 0.000
iter =    241/ 40000, loss_l = 1.039, loss_u = 0.000
iter =    242/ 40000, loss_l = 1.440, loss_u = 0.000
iter =    243/ 40000, loss_l = 0.962, loss_u = 0.001
iter =    244/ 40000, loss_l = 1.597, loss_u = 0.000
iter =    245/ 40000, loss_l = 1.122, loss_u = 0.001
iter =    246/ 40000, loss_l = 0.651, loss_u = 0.000
iter =    247/ 40000, loss_l = 1.443, loss_u = 0.000
iter =    248/ 40000, loss_l = 1.389, loss_u = 0.000
iter =    249/ 40000, loss_l = 1.124, loss_u = 0.001
iter =    250/ 40000, loss_l = 0.856, loss_u = 0.000
iter =    251/ 40000, loss_l = 1.303, loss_u = 0.000
iter =    252/ 40000, loss_l = 2.350, loss_u = 0.000
iter =    253/ 40000, loss_l = 1.495, loss_u = 0.008
iter =    254/ 40000, loss_l = 0.858, loss_u = 0.000
iter =    255/ 40000, loss_l = 1.337, loss_u = 0.000
iter =    256/ 40000, loss_l = 0.663, loss_u = 0.000
iter =    257/ 40000, loss_l = 1.553, loss_u = 0.000
iter =    258/ 40000, loss_l = 1.891, loss_u = 0.000
iter =    259/ 40000, loss_l = 1.387, loss_u = 0.000
iter =    260/ 40000, loss_l = 0.768, loss_u = 0.001
iter =    261/ 40000, loss_l = 1.420, loss_u = 0.001
iter =    262/ 40000, loss_l = 1.443, loss_u = 0.000
iter =    263/ 40000, loss_l = 1.297, loss_u = 0.000
iter =    264/ 40000, loss_l = 0.911, loss_u = 0.000
iter =    265/ 40000, loss_l = 1.872, loss_u = 0.001
iter =    266/ 40000, loss_l = 1.121, loss_u = 0.000
iter =    267/ 40000, loss_l = 1.014, loss_u = 0.000
iter =    268/ 40000, loss_l = 0.998, loss_u = 0.000
iter =    269/ 40000, loss_l = 1.495, loss_u = 0.000
iter =    270/ 40000, loss_l = 1.171, loss_u = 0.000
iter =    271/ 40000, loss_l = 0.840, loss_u = 0.001
iter =    272/ 40000, loss_l = 1.587, loss_u = 0.001
